Feed-Forward Feature Selection Accuracies for KNearestNeighboors on MNIST
Feature Count, Accuracy
1, 27.45
2, 43.0
3, 51.35
4, 58.199999999999996
5, 63.15
6, 67.1
7, 70.69999999999999
8, 72.85
9, 75.4
10, 76.9
11, 78.75
12, 80.4
13, 81.6
14, 83.1
15, 83.65
16, 83.85
17, 84.55
18, 85.45
19, 85.9
20, 86.75
21, 87.19999999999999
22, 87.69999999999999
23, 88.15
24, 88.35
25, 88.6
26, 88.7
27, 88.85
28, 88.85
29, 88.80000000000001
30, 88.8
31, 89.0
32, 89.25
33, 89.35
34, 89.55
35, 89.5
36, 89.65
37, 89.7
38, 89.75
39, 89.75
40, 90.05000000000001
41, 90.2
42, 90.4
43, 90.35
44, 90.4
45, 90.60000000000001
46, 90.55000000000001
47, 90.45
48, 90.4
49, 90.30000000000001
50, 90.45
51, 90.55
52, 90.65
53, 90.4
54, 90.60000000000001
55, 90.80000000000001
56, 90.9
57, 90.85000000000001
58, 90.9
59, 90.95
60, 91.05000000000001
61, 91.45
62, 91.35
63, 91.2
64, 91.25
65, 91.1
66, 91.0
67, 90.95
68, 90.80000000000001
69, 90.85
70, 90.9
71, 90.85000000000001
72, 90.9
73, 90.9
74, 90.8
75, 90.75
76, 90.85
77, 90.85
78, 91.0
79, 91.0
80, 90.85
81, 90.80000000000001
82, 90.85
83, 90.80000000000001
84, 90.80000000000001
85, 90.95
86, 90.95
87, 91.0
88, 91.05000000000001
89, 91.2
90, 91.3
91, 91.10000000000001
92, 90.85
93, 90.85
94, 91.0
95, 90.8
96, 90.95
97, 91.0
98, 90.7
99, 90.55000000000001
100, 90.2
