Feed-Forward Feature Selection Accuracies for MulticlassLogisticClassifier on MNIST
Feature Count, Accuracy
1, 33.699999999999996
2, 45.05
3, 53.650000000000006
4, 60.65
5, 66.95
6, 70.75
7, 74.69999999999999
8, 77.0
9, 78.30000000000001
10, 79.25
11, 80.15
12, 80.95
13, 82.15
14, 82.8
15, 83.1
16, 83.69999999999999
17, 84.25
18, 84.6
19, 85.1
20, 85.5
21, 86.0
22, 86.1
23, 86.15
24, 86.35
25, 86.2
26, 86.3
27, 86.0
28, 85.94999999999999
29, 85.8
30, 86.1
31, 85.80000000000001
32, 85.85
33, 85.9
34, 85.5
35, 85.5
36, 85.15
37, 84.94999999999999
38, 84.5
39, 83.9
40, 84.0
41, 83.5
42, 82.85
43, 83.25
44, 84.3
45, 84.6
46, 85.05
47, 85.69999999999999
48, 85.8
49, 86.05
50, 86.30000000000001
51, 86.3
52, 86.35
53, 86.45
54, 86.6
55, 86.44999999999999
56, 86.35
57, 86.35
58, 86.0
59, 86.15
60, 86.30000000000001
61, 86.05
62, 86.25
63, 85.9
64, 86.19999999999999
65, 86.0
66, 85.7
67, 85.5
68, 85.6
69, 85.35
70, 85.19999999999999
71, 85.55
72, 86.15
73, 86.35
74, 86.9
75, 86.85
76, 87.0
77, 86.80000000000001
78, 86.9
79, 87.0
80, 87.35
81, 87.35
82, 87.35
83, 87.55000000000001
84, 87.4
85, 87.15
86, 87.15
87, 87.05
88, 87.1
89, 87.0
90, 87.1
91, 87.15
92, 87.1
93, 86.8
94, 86.65
95, 86.6
96, 86.6
97, 86.65
98, 86.94999999999999
99, 86.65
100, 86.35
