Feed-Forward Feature Selection Accuracies for QDAClassifier on MNIST
Feature Count, Accuracy
1, 32.4
2, 43.25
3, 52.45
4, 57.45
5, 61.7
6, 65.35
7, 68.4
8, 70.9
9, 72.25
10, 74.35
11, 75.69999999999999
12, 76.9
13, 78.1
14, 79.5
15, 80.55000000000001
16, 81.15
17, 81.75
18, 82.3
19, 82.39999999999999
20, 82.44999999999999
21, 82.69999999999999
22, 82.85
23, 83.3
24, 83.65
25, 83.69999999999999
26, 83.94999999999999
27, 84.19999999999999
28, 84.15
29, 84.45
30, 84.69999999999999
31, 84.69999999999999
32, 84.8
33, 85.25
34, 85.25
35, 85.35
36, 85.30000000000001
37, 85.15
38, 85.4
39, 85.75
40, 86.15
41, 86.19999999999999
42, 86.25
43, 86.35
44, 86.45
45, 86.45
46, 86.4
47, 86.4
48, 86.44999999999999
49, 86.45
50, 86.35
51, 86.35
52, 86.25
53, 86.25
54, 86.4
55, 86.4
56, 86.4
57, 86.35
58, 86.3
59, 86.4
60, 86.5
61, 86.35
62, 86.45
63, 86.55000000000001
64, 86.35
65, 86.35
66, 86.1
67, 86.0
68, 86.0
69, 85.8
70, 85.69999999999999
71, 85.7
72, 85.75
73, 85.8
74, 85.6
75, 85.69999999999999
76, 85.75
77, 85.69999999999999
78, 85.75
79, 85.69999999999999
80, 85.6
81, 85.6
82, 85.4
83, 85.3
84, 85.19999999999999
85, 85.0
86, 84.85
87, 84.6
88, 84.25
89, 84.1
90, 83.85
91, 83.55
92, 83.3
93, 83.0
94, 82.79999999999998
95, 82.3
96, 82.04999999999998
97, 81.75
98, 81.64999999999999
99, 81.4
100, 81.1
